ntaxa,rep,ils,ngt,mnet10_hwcd,mnet20_hwcd,consensus_hwcd,neighbor_hwcd
200,1,low,1000,0.0954356846473029,0.08298755186721991,0.17061611374407584,0.3561643835616438
200,2,low,1000,0.14410480349344978,0.004366812227074236,0.20506329113924052,0.8262910798122066
200,3,low,1000,0.05309734513274336,0.05309734513274336,0.14320987654320988,0.8732057416267942
200,4,low,1000,0.09913793103448276,0.03017241379310345,0.19047619047619047,0.46522781774580335
200,5,low,1000,0.01951219512195122,0.024390243902439025,0.04081632653061224,0.3065326633165829
200,6,low,1000,0.09170305676855896,0.07860262008733625,0.145679012345679,0.41148325358851673
200,7,low,1000,0.09216589861751152,0.004608294930875576,0.15544041450777202,0.3694581280788177
200,8,low,1000,0.028846153846153848,0.009615384615384616,0.09020618556701031,0.34739454094292804
200,9,low,1000,0.014423076923076924,0.004807692307692308,0.07556675062972293,0.3226600985221675
200,10,low,1000,0.014634146341463415,0.004878048780487805,0.05343511450381679,0.34
200,11,low,1000,0.03365384615384615,0.02403846153846154,0.06582278481012659,0.2684729064039409
200,12,low,1000,0.023696682464454975,0.018957345971563982,0.0737913486005089,0.38461538461538464
200,13,low,1000,0.05,0.022727272727272728,0.14609571788413098,0.3975609756097561
200,14,low,1000,0.06278026905829596,0.07623318385650224,0.12626262626262627,0.28365384615384615
200,15,low,1000,0.03365384615384615,0.0,0.09898477157360407,0.3611111111111111
200,1,high,1000,0.22406639004149378,0.25311203319502074,0.7938931297709924,0.4519906323185012
200,2,high,1000,0.27074235807860264,0.17467248908296942,0.859504132231405,0.5323383084577115
200,3,high,1000,0.17256637168141592,0.1592920353982301,0.8244897959183674,0.515970515970516
200,4,high,1000,0.1206896551724138,0.1896551724137931,0.9194915254237288,0.5475
200,5,high,1000,0.014634146341463415,0.01951219512195122,0.7973568281938326,0.4435695538057743
200,6,high,1000,0.19213973799126638,0.26200873362445415,0.9063829787234042,-1.0
200,7,high,1000,0.14746543778801843,0.1382488479262673,0.9282511210762332,-1.0
200,8,high,1000,0.07211538461538461,0.08173076923076923,0.9302325581395349,-1.0
200,9,high,1000,0.057692307692307696,0.0673076923076923,0.7436974789915967,-1.0
200,10,high,1000,0.03902439024390244,0.07317073170731707,0.8715596330275229,-1.0
200,11,high,1000,0.09615384615384616,0.09134615384615384,0.9032258064516129,-1.0
200,13,high,1000,0.12272727272727273,0.07727272727272727,0.8215767634854771,-1.0
200,14,high,1000,0.18834080717488788,0.19730941704035873,0.7950819672131147,-1.0
200,15,high,1000,0.08173076923076923,0.09134615384615384,0.8944954128440367,-1.0
